lat,lon,date,chlorophyll_a_mg_m3,source_satellite,quality_flag
8.0,72.0,2026-09-01,0.515,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-01,0.472,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-01,0.483,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-01,0.734,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-01,0.293,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-01,0.424,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-01,0.35,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-01,0.455,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-01,0.416,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-01,0.432,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-01,0.287,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-01,0.826,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-01,0.936,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-01,0.312,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-01,0.272,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-01,0.618,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-01,0.826,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-01,0.824,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-01,0.468,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-01,0.255,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-01,0.802,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-01,0.732,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-01,0.416,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-01,0.592,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-01,0.448,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-01,0.517,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-01,0.442,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-01,0.877,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-01,0.286,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-01,0.472,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-01,0.374,ISRO_Oceansat2_OCM,1
14.0,78.0,2026-09-01,0.309,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-01,0.481,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-01,0.367,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-01,1.325,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-01,1.237,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-01,2.085,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-01,0.46,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-01,0.997,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-01,0.282,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-01,0.28,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-01,0.565,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-01,0.645,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-01,0.558,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-01,0.284,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-01,0.816,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-01,0.47,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-01,0.485,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-01,1.106,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-01,0.569,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-01,0.661,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-01,0.912,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-01,0.537,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-01,0.821,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-01,0.357,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-01,0.366,ISRO_Oceansat2_OCM,1
8.0,72.0,2026-09-02,0.499,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-02,0.377,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-02,0.275,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-02,0.313,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-02,0.443,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-02,0.58,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-02,0.447,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-02,0.267,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-02,0.487,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-02,0.414,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-02,0.446,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-02,0.55,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-02,0.473,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-02,0.3,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-02,0.587,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-02,0.405,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-02,0.707,ISRO_Oceansat2_OCM,1
