boundary_name,sequence_no,lat,lon
India-Sri Lanka IMBL,1,10.0833,79.85
India-Sri Lanka IMBL,2,10.05,79.8
India-Sri Lanka IMBL,3,9.6833,79.5333
India-Sri Lanka IMBL,4,9.3639,79.3789
India-Sri Lanka IMBL,5,9.3653,79.3361
India-Sri Lanka IMBL,6,9.2917,79.25
India-Sri Lanka IMBL,7,9.1,79.2167
India-Sri Lanka IMBL,8,8.8833,78.9167
India-Sri Lanka IMBL,9,8.6333,78.6333
India-Sri Lanka IMBL,10,8.3667,78.4167
India-Sri Lanka IMBL,11,7.9667,78.0333
India-Sri Lanka IMBL,12,7.3333,77.5833
India-Sri Lanka IMBL,13,6.0,76.6667
India-Sri Lanka IMBL,14,4.7833,75.5
