zone_name,sequence_no,lat,lon,restriction_type
Gulf of Mannar Marine National Park,1,9.23,79.12,No-Take Zone
Gulf of Mannar Marine National Park,2,9.28,79.3,No-Take Zone
Gulf of Mannar Marine National Park,3,9.15,79.45,No-Take Zone
Gulf of Mannar Marine National Park,4,8.98,78.95,No-Take Zone
Gulf of Mannar Marine National Park,5,9.1,78.82,No-Take Zone
Gulf of Mannar Marine National Park,6,9.23,79.12,No-Take Zone
Gahirmatha Marine Sanctuary,1,20.75,87.0,Seasonal Fishing Ban
Gahirmatha Marine Sanctuary,2,20.8,87.2,Seasonal Fishing Ban
Gahirmatha Marine Sanctuary,3,20.5,87.1,Seasonal Fishing Ban
Gahirmatha Marine Sanctuary,4,20.42,86.9,Seasonal Fishing Ban
Gahirmatha Marine Sanctuary,5,20.75,87.0,Seasonal Fishing Ban
Sundarbans Marine Reserve,1,21.7,88.5,Restricted Access
Sundarbans Marine Reserve,2,21.7,89.1,Restricted Access
Sundarbans Marine Reserve,3,21.3,89.1,Restricted Access
Sundarbans Marine Reserve,4,21.3,88.5,Restricted Access
Sundarbans Marine Reserve,5,21.7,88.5,Restricted Access
