lat,lon,date,chlorophyll_a_mg_m3,source_satellite,quality_flag
8.0,72.0,2026-09-01T00:00:00Z,0.515,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-01T00:00:00Z,0.472,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-01T00:00:00Z,0.483,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-01T00:00:00Z,0.734,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-01T00:00:00Z,0.293,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-01T00:00:00Z,0.424,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-01T00:00:00Z,0.35,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-01T00:00:00Z,0.455,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-01T00:00:00Z,0.416,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-01T00:00:00Z,0.432,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-01T00:00:00Z,0.287,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-01T00:00:00Z,0.826,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-01T00:00:00Z,0.936,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-01T00:00:00Z,0.312,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-01T00:00:00Z,0.272,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-01T00:00:00Z,0.618,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-01T00:00:00Z,0.826,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-01T00:00:00Z,0.824,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-01T00:00:00Z,0.468,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-01T00:00:00Z,0.255,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-01T00:00:00Z,0.802,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-01T00:00:00Z,0.732,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-01T00:00:00Z,0.416,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-01T00:00:00Z,0.592,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-01T00:00:00Z,0.448,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-01T00:00:00Z,0.517,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-01T00:00:00Z,0.442,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-01T00:00:00Z,0.877,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-01T00:00:00Z,0.286,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-01T00:00:00Z,0.472,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-01T00:00:00Z,0.374,ISRO_Oceansat2_OCM,1
