zone_id,lat,lon,date_issued,valid_until,radius_km,confidence_score
INCOIS-PFZ-102,16.9838,73.153,2026-09-01T00:00:00Z,2026-09-03,17.4,0.91
INCOIS-PFZ-103,16.9903,73.2134,2026-09-01T00:00:00Z,2026-09-03,6.0,0.83
INCOIS-PFZ-104,15.3935,73.8126,2026-09-01T00:00:00Z,2026-09-03,17.9,0.87
INCOIS-PFZ-105,15.6388,73.612,2026-09-01T00:00:00Z,2026-09-03,5.9,0.82
INCOIS-PFZ-106,12.7098,74.7715,2026-09-01T00:00:00Z,2026-09-03,15.8,0.73
INCOIS-PFZ-107,9.8994,76.096,2026-09-01T00:00:00Z,2026-09-03,9.7,0.76
INCOIS-PFZ-108,9.7805,76.1422,2026-09-01T00:00:00Z,2026-09-03,24.0,0.82
INCOIS-PFZ-109,8.7362,78.2803,2026-09-01T00:00:00Z,2026-09-03,8.2,0.89
INCOIS-PFZ-110,8.6742,78.3285,2026-09-01T00:00:00Z,2026-09-03,11.9,0.92
INCOIS-PFZ-111,17.6275,83.3257,2026-09-01T00:00:00Z,2026-09-03,20.7,0.89
INCOIS-PFZ-112,17.5926,83.2439,2026-09-01T00:00:00Z,2026-09-03,13.6,0.84
INCOIS-PFZ-113,20.1467,86.7795,2026-09-01T00:00:00Z,2026-09-03,23.7,0.86
INCOIS-PFZ-114,20.1316,86.737,2026-09-01T00:00:00Z,2026-09-03,15.3,0.93
INCOIS-PFZ-117,16.962,73.3091,2026-09-02T00:00:00Z,2026-09-04,21.8,0.86
INCOIS-PFZ-118,15.3782,73.6287,2026-09-02T00:00:00Z,2026-09-04,23.8,0.78
INCOIS-PFZ-119,15.3634,73.7091,2026-09-02T00:00:00Z,2026-09-04,21.6,0.96
INCOIS-PFZ-120,12.839,74.7963,2026-09-02T00:00:00Z,2026-09-04,9.5,0.94
INCOIS-PFZ-121,9.7843,76.1332,2026-09-02T00:00:00Z,2026-09-04,10.5,0.95
INCOIS-PFZ-122,8.7733,78.2447,2026-09-02T00:00:00Z,2026-09-04,8.7,0.76
INCOIS-PFZ-123,17.5769,83.3262,2026-09-02T00:00:00Z,2026-09-04,17.7,0.95
INCOIS-PFZ-124,20.1412,86.7066,2026-09-02T00:00:00Z,2026-09-04,16.5,0.92
INCOIS-PFZ-127,17.0071,73.3542,2026-09-03T00:00:00Z,2026-09-05,14.4,0.73
INCOIS-PFZ-128,16.9159,73.3445,2026-09-03T00:00:00Z,2026-09-05,16.9,0.96
INCOIS-PFZ-129,15.3549,73.5918,2026-09-03T00:00:00Z,2026-09-05,24.5,0.89
INCOIS-PFZ-130,12.944,74.564,2026-09-03T00:00:00Z,2026-09-05,23.3,0.95
INCOIS-PFZ-131,12.6685,74.7852,2026-09-03T00:00:00Z,2026-09-05,24.0,0.77
INCOIS-PFZ-132,9.9269,76.1645,2026-09-03T00:00:00Z,2026-09-05,13.0,0.79
INCOIS-PFZ-133,8.8967,78.0805,2026-09-03T00:00:00Z,2026-09-05,6.3,0.95
INCOIS-PFZ-134,17.7342,83.2228,2026-09-03T00:00:00Z,2026-09-05,14.4,0.95
INCOIS-PFZ-135,20.121,86.7355,2026-09-03T00:00:00Z,2026-09-05,9.8,0.91
INCOIS-PFZ-137,17.1076,73.2652,2026-09-04T00:00:00Z,2026-09-06,6.7,0.77
INCOIS-PFZ-138,15.5455,73.6289,2026-09-04T00:00:00Z,2026-09-06,24.4,0.8
INCOIS-PFZ-139,12.7799,74.6973,2026-09-04T00:00:00Z,2026-09-06,20.0,0.75
INCOIS-PFZ-140,9.9363,76.1353,2026-09-04T00:00:00Z,2026-09-06,10.3,0.78
INCOIS-PFZ-141,8.6615,78.2976,2026-09-04T00:00:00Z,2026-09-06,7.6,0.78
INCOIS-PFZ-142,17.7946,83.4023,2026-09-04T00:00:00Z,2026-09-06,14.8,0.92
INCOIS-PFZ-143,20.3032,86.7382,2026-09-04T00:00:00Z,2026-09-06,23.9,0.97
INCOIS-PFZ-145,16.8591,73.2227,2026-09-05T00:00:00Z,2026-09-07,19.4,0.83
INCOIS-PFZ-146,15.4099,73.6326,2026-09-05T00:00:00Z,2026-09-07,14.7,0.79
INCOIS-PFZ-147,15.3676,73.764,2026-09-05T00:00:00Z,2026-09-07,8.8,0.92
INCOIS-PFZ-148,12.8169,74.6311,2026-09-05T00:00:00Z,2026-09-07,13.9,0.87
INCOIS-PFZ-149,12.6867,74.8357,2026-09-05T00:00:00Z,2026-09-07,22.6,0.94
INCOIS-PFZ-150,9.8539,76.1858,2026-09-05T00:00:00Z,2026-09-07,11.2,0.77
INCOIS-PFZ-151,8.8256,78.3018,2026-09-05T00:00:00Z,2026-09-07,13.8,0.78
INCOIS-PFZ-152,17.7442,83.2868,2026-09-05T00:00:00Z,2026-09-07,15.2,0.84
INCOIS-PFZ-153,20.1566,86.8439,2026-09-05T00:00:00Z,2026-09-07,17.9,0.77
