lat,lon,date,sst_value_celsius,source_satellite,quality_flag
8.0,78.0,2026-09-01T00:00:00Z,29.21,Copernicus_CMEMS,1
8.0,79.5,2026-09-01T00:00:00Z,29.25,Copernicus_CMEMS,1
8.0,81.0,2026-09-01T00:00:00Z,28.68,Copernicus_CMEMS,1
8.0,82.5,2026-09-01T00:00:00Z,28.56,Copernicus_CMEMS,1
8.0,84.0,2026-09-01T00:00:00Z,28.89,Copernicus_CMEMS,1
9.5,78.0,2026-09-01T00:00:00Z,29.26,Copernicus_CMEMS,1
9.5,79.5,2026-09-01T00:00:00Z,29.18,Copernicus_CMEMS,1
9.5,81.0,2026-09-01T00:00:00Z,29.31,Copernicus_CMEMS,1
9.5,82.5,2026-09-01T00:00:00Z,28.67,Copernicus_CMEMS,1
9.5,84.0,2026-09-01T00:00:00Z,29.37,Copernicus_CMEMS,1
11.0,78.0,2026-09-01T00:00:00Z,28.77,Copernicus_CMEMS,1
11.0,79.5,2026-09-01T00:00:00Z,28.78,Copernicus_CMEMS,1
11.0,81.0,2026-09-01T00:00:00Z,29.2,Copernicus_CMEMS,1
11.0,82.5,2026-09-01T00:00:00Z,29.32,Copernicus_CMEMS,1
11.0,84.0,2026-09-01T00:00:00Z,28.68,Copernicus_CMEMS,1
12.5,78.0,2026-09-01T00:00:00Z,29.32,Copernicus_CMEMS,1
12.5,79.5,2026-09-01T00:00:00Z,29.3,Copernicus_CMEMS,1
12.5,81.0,2026-09-01T00:00:00Z,29.43,Copernicus_CMEMS,1
12.5,82.5,2026-09-01T00:00:00Z,28.88,Copernicus_CMEMS,1
12.5,84.0,2026-09-01T00:00:00Z,28.95,Copernicus_CMEMS,1
14.0,78.0,2026-09-01T00:00:00Z,29.13,Copernicus_CMEMS,1
14.0,79.5,2026-09-01T00:00:00Z,29.4,Copernicus_CMEMS,1
14.0,81.0,2026-09-01T00:00:00Z,29.05,Copernicus_CMEMS,1
14.0,82.5,2026-09-01T00:00:00Z,29.5,Copernicus_CMEMS,1
14.0,84.0,2026-09-01T00:00:00Z,29.34,Copernicus_CMEMS,1
8.0,78.0,2026-09-02T00:00:00Z,28.92,Copernicus_CMEMS,1
8.0,79.5,2026-09-02T00:00:00Z,29.04,Copernicus_CMEMS,1
8.0,81.0,2026-09-02T00:00:00Z,28.81,Copernicus_CMEMS,1
8.0,82.5,2026-09-02T00:00:00Z,28.67,Copernicus_CMEMS,1
8.0,84.0,2026-09-02T00:00:00Z,28.88,Copernicus_CMEMS,1
9.5,78.0,2026-09-02T00:00:00Z,29.03,Copernicus_CMEMS,1
9.5,79.5,2026-09-02T00:00:00Z,28.78,Copernicus_CMEMS,1
9.5,81.0,2026-09-02T00:00:00Z,28.72,Copernicus_CMEMS,1
9.5,82.5,2026-09-02T00:00:00Z,29.14,Copernicus_CMEMS,1
9.5,84.0,2026-09-02T00:00:00Z,29.2,Copernicus_CMEMS,1
11.0,78.0,2026-09-02T00:00:00Z,29.41,Copernicus_CMEMS,1
11.0,79.5,2026-09-02T00:00:00Z,29.16,Copernicus_CMEMS,1
11.0,81.0,2026-09-02T00:00:00Z,29.27,Copernicus_CMEMS,1
11.0,82.5,2026-09-02T00:00:00Z,29.29,Copernicus_CMEMS,1
11.0,84.0,2026-09-02T00:00:00Z,29.01,Copernicus_CMEMS,1
12.5,78.0,2026-09-02T00:00:00Z,29.37,Copernicus_CMEMS,1
12.5,79.5,2026-09-02T00:00:00Z,29.12,Copernicus_CMEMS,1
12.5,81.0,2026-09-02T00:00:00Z,28.92,Copernicus_CMEMS,1
12.5,82.5,2026-09-02T00:00:00Z,29.06,Copernicus_CMEMS,1
12.5,84.0,2026-09-02T00:00:00Z,29.18,Copernicus_CMEMS,1
14.0,78.0,2026-09-02T00:00:00Z,29.13,Copernicus_CMEMS,1
14.0,79.5,2026-09-02T00:00:00Z,29.13,Copernicus_CMEMS,1
14.0,81.0,2026-09-02T00:00:00Z,29.39,Copernicus_CMEMS,1
14.0,82.5,2026-09-02T00:00:00Z,29.35,Copernicus_CMEMS,1
