lat,lon,timestamp,significant_wave_height_m,wave_period_s,swell_height_m,swell_direction_deg
13.0,73.0,2026-09-01T00:00:00Z,2.14,9.1,1.58,283.3
13.0,73.08333333333331,2026-09-01T00:00:00Z,2.14,11.2,1.59,283.4
13.0,73.16666666666666,2026-09-01T00:00:00Z,2.15,15.4,1.59,283.3
13.0,73.25,2026-09-01T00:00:00Z,2.15,17.3,1.59,283.3
13.0,73.33333333333331,2026-09-01T00:00:00Z,2.15,17.3,1.59,283.0
13.0,73.41666666666666,2026-09-01T00:00:00Z,2.14,17.3,1.56,283.0
13.0,73.5,2026-09-01T00:00:00Z,2.13,17.3,1.43,268.1
13.0,73.58333333333331,2026-09-01T00:00:00Z,2.12,17.3,0.93,203.9
13.0,73.66666666666666,2026-09-01T00:00:00Z,2.1,17.3,0.85,203.5
13.0,73.75,2026-09-01T00:00:00Z,2.08,17.3,0.86,203.5
13.0,73.83333333333331,2026-09-01T00:00:00Z,2.06,17.3,0.87,204.1
13.0,73.91666666666666,2026-09-01T00:00:00Z,2.04,17.3,0.88,204.5
13.0,74.0,2026-09-01T00:00:00Z,2.02,17.2,0.88,204.9
13.0,74.08333333333331,2026-09-01T00:00:00Z,1.99,17.2,0.87,205.2
13.0,74.16666666666666,2026-09-01T00:00:00Z,1.95,16.9,0.88,207.6
13.0,74.25,2026-09-01T00:00:00Z,1.91,12.8,1.23,207.6
13.0,74.33333333333331,2026-09-01T00:00:00Z,1.86,8.8,1.56,282.5
13.0,74.41666666666666,2026-09-01T00:00:00Z,1.81,8.8,1.54,282.4
13.0,74.5,2026-09-01T00:00:00Z,1.77,8.7,1.53,282.3
13.0,74.58333333333331,2026-09-01T00:00:00Z,1.72,8.7,1.51,281.9
13.0,74.66666666666666,2026-09-01T00:00:00Z,1.67,8.7,1.48,281.0
13.0,74.75,2026-09-01T00:00:00Z,1.57,8.7,1.41,281.0
13.0,80.33333333333331,2026-09-01T00:00:00Z,0.9,12.9,0.74,143.3
13.0,80.41666666666663,2026-09-01T00:00:00Z,1.15,13.5,0.93,146.6
13.0,80.5,2026-09-01T00:00:00Z,1.27,13.8,1.0,149.4
13.0,80.58333333333331,2026-09-01T00:00:00Z,1.35,13.9,1.04,150.6
13.0,80.66666666666663,2026-09-01T00:00:00Z,1.41,14.1,1.06,151.0
13.0,80.75,2026-09-01T00:00:00Z,1.45,14.2,1.09,151.0
13.0,80.83333333333331,2026-09-01T00:00:00Z,1.49,14.4,1.11,151.7
13.0,80.91666666666663,2026-09-01T00:00:00Z,1.52,14.5,1.12,152.7
13.0,81.0,2026-09-01T00:00:00Z,1.56,14.7,1.13,153.7
13.083333333333329,73.0,2026-09-01T00:00:00Z,2.15,9.1,1.59,282.8
13.083333333333329,73.08333333333331,2026-09-01T00:00:00Z,2.16,9.4,1.6,282.4
13.083333333333329,73.16666666666666,2026-09-01T00:00:00Z,2.16,14.2,1.6,282.4
13.083333333333329,73.25,2026-09-01T00:00:00Z,2.16,16.9,1.6,282.4
13.083333333333329,73.33333333333331,2026-09-01T00:00:00Z,2.16,17.3,1.6,281.9
13.083333333333329,73.41666666666666,2026-09-01T00:00:00Z,2.15,17.3,1.6,282.4
